GrainID,EquivalentDiameter,AspectRatio
2,9.1611324919436,4.3112439588551
25,27.0904169388916,5.01059146900108
26,29.7759571564187,8.17077149272683
41,22.9290089617151,1.73356952914534
63,13.77619266286,1.48054089643775
87,14.9898706430936,1.99556733810977
93,16.7361721474915,1.9418198973772
94,35.609115078662,2.06674882943167
131,23.9645846510728,2.35434568176338
142,14.9635501125429,1.58434963225098
145,12.5634569520458,1.23241149888397
150,39.7414758194579,2.09700135584721
155,29.8507798213989,1.97970507991329
191,19.4741376660595,2.38028862115499
192,12.3647292799016,1.34820115882479
238,22.9076867730435,1.77359544305549
266,50.6495711459867,1.79844343662532
326,33.2366185844557,1.54747535648354
380,22.7618999440851,1.35116813820962
405,19.4716661055765,1.48985363907892
417,25.2346555353444,1.7799964467071
483,24.7535734947977,1.40932970948875
587,25.1149118273439,1.57089040714431
650,19.1825254907525,1.30394606414905
677,9.77793775343151,2.30416823476154
687,32.5178750875774,1.85591209197206
721,35.6268813789933,1.63065953475624
727,27.7775875233523,1.26240808495194
733,32.1117758701062,1.38150437107465
761,15.8797389911307,1.06300658871357
766,13.5821233753298,1.31233159899252
775,27.1262257894606,1.54072665051881
792,35.8260012387867,1.27027187345697
816,33.7362878105306,1.45253406936956
821,40.4699759818884,1.66417109528576
847,13.864047271412,1.2625117616748
848,12.7508243866019,2.77943151315615
865,29.8095822568596,1.51139446611655
883,44.5758331511397,2.30585365983334
963,50.2812948450932,1.74193371402527
975,11.3475455286863,2.18760290740658
977,49.0479206582339,1.29190822027549
983,34.5360716897395,3.17734069968603
991,69.947025916778,1.62612869360929
998,21.4113210162432,1.54096758019101
1036,25.5047540892126,1.88652789310791
1040,38.8740166653885,2.23370827885889
1069,31.8200204194998,2.2664527486087
1091,22.0074324064847,1.67711903567885
1096,43.4538333782717,2.35990342530327
1104,33.075709489713,1.68506695361803
1149,15.4380580388995,1.49647207276245
1161,31.6993340442105,1.93796131480007
1176,28.5164522472396,1.4421990164267
1186,28.7687919796501,1.24416259571673
1196,62.0281430896916,1.98249941388428
1204,16.1557261002122,1.2928449183213
1236,13.8215532196859,1.86006285191967
1291,15.6636749772004,1.3696322921368
1312,55.1746906400982,2.96050777027821
1325,32.0761025614816,2.00094597837767
1339,73.2191703983166,2.46439151415854
1348,23.4821642008315,2.08775447367653
1354,35.2276433952026,1.71252537711354
1361,41.3866344225398,1.84497595586279
1363,10.8307002798651,3.46397073230141
1368,28.9139009601865,1.39975656701921
1372,33.4504725889075,1.91078087751032
1392,41.2415901686426,3.88825742585353
1457,17.8455938934025,1.25917792721839
1512,11.3952888602861,1.72582273984011
1529,30.0959517985131,1.59812153069278
1547,31.1873224026614,1.81664678624378
1550,32.9293135169105,2.69540987788103
1583,21.4703248527802,1.14491244369536
1587,9.10086590783942,1.31130064033488
1695,25.5910723287275,1.19915881680385
1698,36.7748239955901,1.43964820189034
1759,9.09395206747079,3.28956101843082
1762,17.2160341357963,1.7133065004251
1764,21.6772416366011,1.40113286734908
1773,13.6874951100352,1.54205062895577
1838,40.255217380279,1.51760087641395
1846,7.89791262855008,1.80185510813687
1878,22.1239217389642,1.13180232488273
1884,29.8098897847328,1.68207036482727
1888,63.7903990891617,1.45829066233814
1934,39.7487926374197,1.6315660671304
1950,10.8749060627291,2.47036732986629
1956,29.2756012355982,1.53448459605084
1983,43.4031424314059,2.4807528210995
1987,32.8125754858582,1.89798409121561
2056,18.7164467074108,2.99114669407581
2059,19.5567479315893,2.62541893192676
2131,13.2020555435362,1.63685055387863
2233,16.3753283406067,2.49174113617467
2253,36.2833475047914,1.61723841397907
2270,33.6535260668655,1.45782289116869
